Job post title;Firm name;Firm page;International students
Graduated Students/Trainees;IMCD Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=29;FALSE
Giovane Professionista per il Dipartimento di Diritto Amministrativo (Global Regulatory - Environment) Roma;IMCD Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=29;FALSE
Giovane professionista per il dipartimento di Debt Capital Markets, sede di Milano;IMCD Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=29;FALSE
Analytics Collection Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Financial Controller Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
HR Performance & Reward Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Human Connection Recruitment Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
KYC Analyst Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Human Channels Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Sales Analyst Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Customer Contact Center Quality Assurance Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Credit Risk Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Operational Accounting Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Payments Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Strategic Business Management Stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
Sales network strategic project stageur;ING Bank;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=69;TRUE
HR INTERN;Iper La grande i;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=157;FALSE
ICT Junior Analyst Internship;Iper La grande i;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=157;FALSE
Tecnologo Alimentare;IRCA GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=87;TRUE
Tecnologo Alimentare;Kelly Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=70;TRUE
STAGE RISORSE UMANE;Korian;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=22;FALSE
STAGE CONTROLLER;Korian;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=22;FALSE
MEDICO;Korian;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=22;FALSE
FISIOTERAPISTA;Korian;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=22;FALSE
STAGE IT;Korian;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=22;FALSE
INFERMIERI;Korian;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=22;FALSE
Infermiere per struttura riabilitativa;KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Infermiere per struttura socio sanitaria (RSA);KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Educatore professionale per struttura socio-sanitaria (RSA);KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Medico di Guardia per struttura riabilitativa;KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Medico di guarda per struttura socio assistenziale (RSA);KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Medico specialista per struttura socio sanitaria (RSA);KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
MEDICO SPECIALISTA AMBULATORIALE;KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
FISIOTERAPISTA per SERVIZIO CURE DOMICILIARI;KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
FISIOETRAPISTA per STRUTTURA SOCIO SANITARIA;KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Talent Acquisition Specialist;KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Operatore Service Desk ICT;KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Specialista IT Area Clinico-Gestionale;KOS GROUP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=5;FALSE
Audit Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Junior Auditor;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Junior Data Analyst;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Junior Data Engineer;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Technology Risk Consultant;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Junior Legal Consultant;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Junior Tax Consultant;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Junior Accountant;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Junior Consultant Software Asset Management and IT Governance;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Governance, Risk and Compliance Intern - Financial Services;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Governance, Risk and Compliance Intern - Healthcare&Public;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Quantitative Financial Risk Management Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
